393,-54,18
394,-54,21
395,-54,24
396,-54,27
397,-54,30
398,-54,33
399,-54,36
400,-54,39
401,-54,42
402,-54,45
403,-51,-45
404,-51,-42
405,-51,-39
406,-51,-36
407,-51,-33
408,-51,-30
409,-51,-27
410,-51,-24
411,-51,-21
412,-51,-18
413,-51,-15
414,-51,-12
415,-51,-9
416,-51,-6
417,-51,-3
418,-51,0
419,-51,3
420,-51,6
421,-51,9
422,-51,12
423,-51,15
424,-51,18
425,-51,21
426,-51,24
427,-51,27
428,-51,30
429,-51,33
430,-51,36
431,-51,39
432,-51,42
433,-51,45
434,-48,-45
435,-48,-42
436,-48,-39
437,-48,-36
438,-48,-33
439,-48,-30
440,-48,-27
441,-48,-24
442,-48,-21
443,-48,-18
444,-48,-15
445,-48,-12
446,-48,-9
447,-48,-6
448,-48,-3
449,-48,0
450,-48,3
451,-48,6
452,-48,9
453,-48,12
454,-48,15
455,-48,18
456,-48,21
457,-48,24
458,-48,27
459,-48,30
460,-48,33
461,-48,36
462,-48,39
463,-48,42
464,-48,45
465,-45,-45
466,-45,-42
467,-45,-39
468,-45,-36
469,-45,-33
470,-45,-30
471,-45,-27
472,-45,-24
473,-45,-21
474,-45,-18
475,-45,-15
476,-45,-12
477,-45,-9
478,-45,-6
479,-45,-3
480,-45,0
481,-45,3
482,-45,6
483,-45,9
484,-45,12
485,-45,15
486,-45,18
487,-45,21
488,-45,24
489,-45,27
490,-45,30
491,-45,33
492,-45,36
493,-45,39
494,-45,42
495,-45,45
496,-42,-45
497,-42,-42
498,-42,-39
499,-42,-36
500,-42,-33
501,-42,-30
502,-42,-27
503,-42,-24
504,-42,-21
505,-42,-18
506,-42,-15
507,-42,-12
508,-42,-9
509,-42,-6
510,-42,-3
511,-42,0
512,-42,3
513,-42,6
514,-42,9
515,-42,12
516,-42,15
517,-42,18
518,-42,21
519,-42,24
520,-42,27
521,-42,30
522,-42,33
523,-42,36
524,-42,39
525,-42,42
526,-42,45
527,-39,-45
528,-39,-42
529,-39,-39
530,-39,-36
531,-39,-33
532,-39,-30
533,-39,-27
534,-39,-24
535,-39,-21
536,-39,-18
537,-39,-15
538,-39,-12
539,-39,-9
540,-39,-6
541,-39,-3
542,-39,0
543,-39,3
544,-39,6
545,-39,9
546,-39,12
547,-39,15
548,-39,18
549,-39,21
550,-39,24
551,-39,27
552,-39,30
553,-39,33
554,-39,36
555,-39,39
556,-39,42
557,-39,45
558,-36,-45
559,-36,-42
560,-36,-39
561,-36,-36
562,-36,-33
563,-36,-30
564,-36,-27
565,-36,-24
566,-36,-21
567,-36,-18
568,-36,-15
569,-36,-12
570,-36,-9
571,-36,-6
572,-36,-3
573,-36,0
574,-36,3
575,-36,6
576,-36,9
577,-36,12
578,-36,15
579,-36,18
580,-36,21
581,-36,24
582,-36,27
583,-36,30
584,-36,33
585,-36,36
586,-36,39
587,-36,42
588,-36,45
589,-33,-45
590,-33,-42
591,-33,-39
592,-33,-36
593,-33,-33
594,-33,-30
595,-33,-27
596,-33,-24
597,-33,-21
598,-33,-18
599,-33,-15
600,-33,-12
601,-33,-9
602,-33,-6
603,-33,-3
604,-33,0
605,-33,3
606,-33,6
607,-33,9
608,-33,12
609,-33,15
610,-33,18
611,-33,21
612,-33,24
613,-33,27
614,-33,30
615,-33,33
616,-33,36
617,-33,39
618,-33,42
619,-33,45
620,-30,-45
621,-30,-42
622,-30,-39
623,-30,-36
624,-30,-33
625,-30,-30
626,-30,-27
627,-30,-24
628,-30,-21
629,-30,-18
630,-30,-15
631,-30,-12
632,-30,-9
633,-30,-6
634,-30,-3
635,-30,0
636,-30,3
637,-30,6
638,-30,9
639,-30,12
640,-30,15
641,-30,18
642,-30,21
643,-30,24
644,-30,27
645,-30,30
646,-30,33
647,-30,36
648,-30,39
649,-30,42
650,-30,45
651,-27,-45
652,-27,-42
653,-27,-39
654,-27,-36
655,-27,-33
656,-27,-30
657,-27,-27
658,-27,-24
659,-27,-21
660,-27,-18
661,-27,-15
662,-27,-12
663,-27,-9
664,-27,-6
665,-27,-3
666,-27,0
667,-27,3
668,-27,6
669,-27,9
670,-27,12
671,-27,15
672,-27,18
673,-27,21
674,-27,24
675,-27,27
676,-27,30
677,-27,33
678,-27,36
679,-27,39
680,-27,42
681,-27,45
682,-24,-45
683,-24,-42
684,-24,-39
685,-24,-36
686,-24,-33
687,-24,-30
688,-24,-27
689,-24,-24
690,-24,-21
691,-24,-18
692,-24,-15
693,-24,-12
694,-24,-9
695,-24,-6
696,-24,-3
697,-24,0
698,-24,3
699,-24,6
700,-24,9
701,-24,12
702,-24,15
703,-24,18
704,-24,21
705,-24,24
706,-24,27
707,-24,30
708,-24,33
709,-24,36
710,-24,39
711,-24,42
712,-24,45
713,-21,-45
714,-21,-42
715,-21,-39
716,-21,-36
717,-21,-33
718,-21,-30
719,-21,-27
720,-21,-24
721,-21,-21
722,-21,-18
723,-21,-15
724,-21,-12
725,-21,-9
726,-21,-6
727,-21,-3
728,-21,0
729,-21,3
730,-21,6
731,-21,9
732,-21,12
733,-21,15
734,-21,18
735,-21,21
736,-21,24
737,-21,27
738,-21,30
739,-21,33
740,-21,36
741,-21,39
742,-21,42
743,-21,45
744,-18,-45
745,-18,-42
746,-18,-39
747,-18,-36
748,-18,-33
749,-18,-30
750,-18,-27
751,-18,-24
752,-18,-21
753,-18,-18
754,-18,-15
755,-18,-12
756,-18,-9
757,-18,-6
758,-18,-3
759,-18,0
760,-18,3
761,-18,6
762,-18,9
763,-18,12
764,-18,15
765,-18,18
766,-18,21
767,-18,24
768,-18,27
769,-18,30
770,-18,33
771,-18,36
772,-18,39
773,-18,42
774,-18,45
775,-15,-45
776,-15,-42
777,-15,-39
778,-15,-36
779,-15,-33
780,-15,-30
781,-15,-27
782,-15,-24
783,-15,-21
784,-15,-18
